# x_m,y_m,w_tr_right_m,w_tr_left_m
20.891,-236.246,1.500,1.500
19.973,-236.645,1.500,1.500
19.055,-237.044,1.500,1.500
18.137,-237.442,1.500,1.500
17.219,-237.843,1.500,1.500
16.297,-238.233,1.500,1.500
15.425,-238.723,1.500,1.500
14.549,-239.195,1.500,1.500
13.662,-239.628,1.500,1.500
12.762,-240.023,1.500,1.500
11.849,-240.380,1.500,1.500
10.924,-240.698,1.500,1.500
9.987,-240.978,1.500,1.500
9.037,-241.220,1.500,1.500
8.074,-241.424,1.500,1.500
7.100,-241.590,1.500,1.500
6.112,-241.717,1.500,1.500
5.113,-241.806,1.500,1.500
4.101,-241.857,1.500,1.500
3.076,-241.870,1.500,1.500
2.039,-241.844,1.500,1.500
0.989,-241.780,1.500,1.500
-0.071,-241.682,1.500,1.500
-1.131,-241.590,1.500,1.500
-2.185,-241.517,1.500,1.500
-3.234,-241.463,1.500,1.500
-4.279,-241.428,1.500,1.500
-5.318,-241.412,1.500,1.500
-6.352,-241.415,1.500,1.500
-7.381,-241.436,1.500,1.500
-8.404,-241.477,1.500,1.500
-9.423,-241.536,1.500,1.500
-10.437,-241.614,1.500,1.500
-11.446,-241.711,1.500,1.500
-12.449,-241.827,1.500,1.500
-13.448,-241.962,1.500,1.500
-14.441,-242.115,1.500,1.500
-15.429,-242.288,1.500,1.500
-16.413,-242.479,1.500,1.500
-17.393,-242.680,1.500,1.500
-18.374,-242.879,1.500,1.500
-19.356,-243.079,1.500,1.500
-20.337,-243.279,1.500,1.500
-21.318,-243.478,1.500,1.500
-22.299,-243.678,1.500,1.500
-23.280,-243.877,1.500,1.500
-24.261,-244.077,1.500,1.500
-25.242,-244.276,1.500,1.500
-26.223,-244.476,1.500,1.500
-27.204,-244.675,1.500,1.500
-28.185,-244.875,1.500,1.500
-29.166,-245.074,1.500,1.500
-30.147,-245.275,1.500,1.500
-31.129,-245.470,1.500,1.500
-32.115,-245.641,1.500,1.500
-33.106,-245.782,1.500,1.500
-34.101,-245.893,1.500,1.500
-35.099,-245.973,1.500,1.500
-36.099,-246.023,1.500,1.500
-37.100,-246.043,1.500,1.500
-38.101,-246.032,1.500,1.500
-39.102,-245.991,1.500,1.500
-40.100,-245.919,1.500,1.500
-41.096,-245.818,1.500,1.500
-42.088,-245.686,1.500,1.500
-43.076,-245.524,1.500,1.500
-44.059,-245.332,1.500,1.500
-45.035,-245.110,1.500,1.500
-46.004,-244.859,1.500,1.500
-46.965,-244.578,1.500,1.500
-47.917,-244.269,1.500,1.500
-48.860,-243.930,1.500,1.500
-49.791,-243.564,1.500,1.500
-50.711,-243.169,1.500,1.500
-51.619,-242.746,1.500,1.500
-52.513,-242.296,1.500,1.500
-53.393,-241.819,1.500,1.500
-54.259,-241.316,1.500,1.500
-55.108,-240.786,1.500,1.500
-55.941,-240.231,1.500,1.500
-56.757,-239.651,1.500,1.500
-57.555,-239.046,1.500,1.500
-58.335,-238.418,1.500,1.500
-59.094,-237.766,1.500,1.500
-59.834,-237.091,1.500,1.500
-60.553,-236.394,1.500,1.500
-61.250,-235.676,1.500,1.500
-61.925,-234.937,1.500,1.500
-62.578,-234.178,1.500,1.500
-63.207,-233.399,1.500,1.500
-63.812,-232.601,1.500,1.500
-64.393,-231.786,1.500,1.500
-64.949,-230.953,1.500,1.500
-65.479,-230.104,1.500,1.500
-65.982,-229.239,1.500,1.500
-66.461,-228.359,1.500,1.500
-66.928,-227.473,1.500,1.500
-67.395,-226.588,1.500,1.500
-67.863,-225.703,1.500,1.500
-68.330,-224.818,1.500,1.500
-68.797,-223.932,1.500,1.500
-69.267,-223.048,1.500,1.500
-69.751,-222.172,1.500,1.500
-70.264,-221.312,1.500,1.500
-70.804,-220.469,1.500,1.500
-71.370,-219.643,1.500,1.500
-71.962,-218.836,1.500,1.500
-72.579,-218.048,1.500,1.500
-73.221,-217.279,1.500,1.500
-73.887,-216.532,1.500,1.500
-74.576,-215.805,1.500,1.500
-75.288,-215.101,1.500,1.500
-76.021,-214.420,1.500,1.500
-76.776,-213.762,1.500,1.500
-77.551,-213.128,1.500,1.500
-78.346,-212.520,1.500,1.500
-79.159,-211.936,1.500,1.500
-79.991,-211.379,1.500,1.500
-80.839,-210.848,1.500,1.500
-81.705,-210.344,1.500,1.500
-82.585,-209.867,1.500,1.500
-83.480,-209.419,1.500,1.500
-84.389,-209.000,1.500,1.500
-85.311,-208.609,1.500,1.500
-86.245,-208.247,1.500,1.500
-87.189,-207.915,1.500,1.500
-88.144,-207.613,1.500,1.500
-89.107,-207.342,1.500,1.500
-90.079,-207.101,1.500,1.500
-91.058,-206.891,1.500,1.500
-92.043,-206.712,1.500,1.500
-93.033,-206.564,1.500,1.500
-94.027,-206.447,1.500,1.500
-95.025,-206.362,1.500,1.500
-96.024,-206.308,1.500,1.500
-97.025,-206.286,1.500,1.500
-98.026,-206.295,1.500,1.500
-99.027,-206.336,1.500,1.500
-100.025,-206.407,1.500,1.500
-101.021,-206.510,1.500,1.500
-102.013,-206.643,1.500,1.500
-103.001,-206.808,1.500,1.500
-103.983,-207.003,1.500,1.500
-104.958,-207.228,1.500,1.500
-105.926,-207.484,1.500,1.500
-106.886,-207.770,1.500,1.500
-107.836,-208.086,1.500,1.500
-108.776,-208.431,1.500,1.500
-109.704,-208.805,1.500,1.500
-110.621,-209.208,1.500,1.500
-111.524,-209.639,1.500,1.500
-112.414,-210.098,1.500,1.500
-113.289,-210.585,1.500,1.500
-114.148,-211.099,1.500,1.500
-114.991,-211.639,1.500,1.500
-115.816,-212.205,1.500,1.500
-116.624,-212.797,1.500,1.500
-117.413,-213.413,1.500,1.500
-118.182,-214.054,1.500,1.500
-118.931,-214.718,1.500,1.500
-119.659,-215.406,1.500,1.500
-120.365,-216.116,1.500,1.500
-121.048,-216.847,1.500,1.500
-121.709,-217.599,1.500,1.500
-122.345,-218.372,1.500,1.500
-122.958,-219.164,1.500,1.500
-123.545,-219.975,1.500,1.500
-124.107,-220.803,1.500,1.500
-124.642,-221.650,1.500,1.500
-125.163,-222.504,1.500,1.500
-125.683,-223.360,1.500,1.500
-126.215,-224.208,1.500,1.500
-126.765,-225.045,1.500,1.500
-127.333,-225.869,1.500,1.500
-127.920,-226.680,1.500,1.500
-128.526,-227.477,1.500,1.500
-129.149,-228.261,1.500,1.500
-129.789,-229.030,1.500,1.500
-130.447,-229.785,1.500,1.500
-131.121,-230.525,1.500,1.500
-131.812,-231.250,1.500,1.500
-132.519,-231.958,1.500,1.500
-133.242,-232.651,1.500,1.500
-133.980,-233.327,1.500,1.500
-134.733,-233.987,1.500,1.500
-135.501,-234.629,1.500,1.500
-136.284,-235.254,1.500,1.500
-137.080,-235.861,1.500,1.500
-137.889,-236.450,1.500,1.500
-138.712,-237.021,1.500,1.500
-139.547,-237.573,1.500,1.500
-140.394,-238.106,1.500,1.500
-141.254,-238.619,1.500,1.500
-142.124,-239.114,1.500,1.500
-143.006,-239.588,1.500,1.500
-143.898,-240.043,1.500,1.500
-144.799,-240.478,1.500,1.500
-145.711,-240.892,1.500,1.500
-146.632,-241.285,1.500,1.500
-147.561,-241.658,1.500,1.500
-148.498,-242.010,1.500,1.500
-149.443,-242.340,1.500,1.500
-150.395,-242.649,1.500,1.500
-151.354,-242.937,1.500,1.500
-152.319,-243.203,1.500,1.500
-153.290,-243.447,1.500,1.500
-154.266,-243.669,1.500,1.500
-155.247,-243.870,1.500,1.500
-156.233,-244.047,1.500,1.500
-157.221,-244.208,1.500,1.500
-158.209,-244.365,1.500,1.500
-159.198,-244.523,1.500,1.500
-160.187,-244.681,1.500,1.500
-161.175,-244.839,1.500,1.500
-162.164,-244.997,1.500,1.500
-163.152,-245.155,1.500,1.500
-164.141,-245.313,1.500,1.500
-165.130,-245.470,1.500,1.500
-166.118,-245.628,1.500,1.500
-167.107,-245.786,1.500,1.500
-168.096,-245.944,1.500,1.500
-169.084,-246.102,1.500,1.500
-170.073,-246.260,1.500,1.500
-171.061,-246.418,1.500,1.500
-172.050,-246.576,1.500,1.500
-173.039,-246.734,1.500,1.500
-174.027,-246.892,1.500,1.500
-175.016,-247.050,1.500,1.500
-176.004,-247.208,1.500,1.500
-176.994,-247.356,1.500,1.500
-177.991,-247.454,1.500,1.500
-178.991,-247.497,1.500,1.500
-179.992,-247.486,1.500,1.500
-180.991,-247.421,1.500,1.500
-181.985,-247.302,1.500,1.500
-182.971,-247.128,1.500,1.500
-183.946,-246.902,1.500,1.500
-184.910,-246.630,1.500,1.500
-185.860,-246.316,1.500,1.500
-186.796,-245.959,1.500,1.500
-187.715,-245.561,1.500,1.500
-188.615,-245.123,1.500,1.500
-189.495,-244.646,1.500,1.500
-190.352,-244.128,1.500,1.500
-191.195,-243.589,1.500,1.500
-192.036,-243.046,1.500,1.500
-192.854,-242.468,1.500,1.500
